[0,0] [1,0]|(1 [2,3,5] [42,61,10]);(2 [5,6,6] [12,3,7]);(3 [51,51,51] [101,101,101])

[53,83] [56,54]|(1 [-54,46,-18] [23,-24,49]);(2 [-100,53,-24] [57,-79,-19]);(3 [10,-6,88] [29,40,-23]);(4 [-1,86,1] [16,67,-87]);(5 [32,11,72] [-89,78,-11]);(6 [16,95,-90] [-33,16,89])

[96,14] [95,23]|(1 [32,41,77] [14,-78,100]);(2 [73,72,68] [97,94,48]);(3 [14,71,78] [85,28,23]);(4 [-60,36,10] [13,-37,-6]);(5 [100,-67,63] [-66,-44,37]);(6 [-83,56,-66] [57,82,-49])

[37,24] [5,8]|(1 [72,-34,63] [70,-97,59]);(2 [14,-2,35] [13,70,44]);(3 [-14,-17,75] [-50,61,-62]);(4 [60,52,-6] [36,-34,-11]);(5 [74,72,70] [51,-10,-42])

[36,3] [54,44]|(1 [-33,-36,-16] [-85,-99,-7]);(2 [-73,16,-59] [-13,46,54]);(3 [65,-82,57] [-53,69,-74]);(4 [-55,39,12] [77,-27,13]);(5 [69,5,42] [-60,95,-26]);(6 [-55,-90,-37] [81,-29,48])

[42,20] [92,60]|(1 [21,2,-99] [48,21,-58]);(2 [72,52,-77] [87,87,72]);(3 [61,-76,-16] [43,-25,-41]);(4 [-26,82,-71] [-64,63,6]);(5 [-63,49,58] [-68,14,62]);(6 [-25,13,-7] [77,52,-28]);(7 [-21,73,-49] [86,-69,56]);(8 [5,-79,-31] [87,28,14])

[4,83] [1,3]|(1 [47,65,-47] [58,-3,98]);(2 [32,69,-85] [41,85,-13]);(3 [-94,-3,-22] [-94,42,0]);(4 [84,22,73] [41,-8,-91])

[67,35] [98,97]|(1 [-42,-21,-40] [-91,49,62]);(2 [-65,-73,-88] [55,-22,82]);(3 [-9,-6,77] [4,-77,-74]);(4 [-72,-30,-89] [19,-36,-57]);(5 [-90,73,87] [-7,6,-72]);(6 [-79,-60,-42] [-86,87,-26]);(7 [-63,-40,-78] [2,-13,32]);(8 [13,-53,11] [-58,-92,92]);(9 [-13,-85,45] [-47,80,-89]);(10 [69,-97,-92] [25,32,33]);(11 [82,16,98] [-20,91,52]);(12 [-33,-64,77] [5,-85,-18]);(13 [-77,-26,38] [-86,32,-14])

[77,49] [13,98]|(1 [92,-5,0] [25,-15,-87]);(2 [59,36,-50] [38,20,-63]);(3 [34,-50,17] [-69,-60,41]);(4 [93,-64,48] [-15,-94,-34]);(5 [-34,-20,10] [-22,-77,97]);(6 [84,-83,24] [-43,60,-16]);(7 [90,31,-28] [77,-69,-31]);(8 [87,-12,76] [53,-3,-81]);(9 [4,78,-2] [-77,-38,67]);(10 [66,-5,51] [-3,23,-46]);(11 [45,-100,-42] [93,97,90]);(12 [59,83,-69] [73,30,-18])

[46,85] [5,63]|(1 [29,69,-68] [-62,24,-16]);(2 [-9,37,-23] [29,99,-40]);(3 [26,47,59] [90,61,-63]);(4 [26,-34,-14] [47,0,-19]);(5 [81,87,-31] [-32,-25,-74])

[100,13] [35,66]|(1 [28,1,-67] [-67,-23,-95]);(2 [19,-17,54] [-61,-5,-13]);(3 [82,-77,-91] [-60,-10,98]);(4 [23,-39,69] [-18,70,89]);(5 [91,5,26] [93,-31,9]);(6 [91,30,-76] [18,-99,-68]);(7 [48,-44,29] [-74,61,-37]);(8 [-3,70,-38] [57,95,-47]);(9 [61,-66,26] [73,-85,-41]);(10 [-21,-50,19] [-16,79,-52]);(11 [-24,-10,53] [-7,-24,-35])

[0,0] [1,1]|(1 [1,2,3] [2,3,4]);(2 [0,0,0] [100,100,100])

[90,56] [12,52]|(1 [-2,80,65] [-48,15,22]);(2 [70,13,28] [-46,-42,-16]);(3 [84,39,-16] [36,-18,48]);(4 [17,85,-46] [-65,-98,7]);(5 [-70,-79,74] [79,-97,-23]);(6 [7,37,-30] [-2,-42,-61])

[39,57] [90,18]|(1 [73,-23,-35] [6,45,85]);(2 [-42,-87,28] [-97,-89,42]);(3 [-59,-71,-79] [-32,29,-73]);(4 [-5,16,45] [18,29,38]);(5 [53,29,-13] [-45,-34,17]);(6 [51,-27,-77] [30,99,31]);(7 [-30,-99,-85] [20,-66,8]);(8 [2,-65,67] [-57,-36,-9]);(9 [-63,-24,1] [55,-60,-17]);(10 [45,97,-8] [18,64,-65])

